Subject,Alpha,Algorithm,RMSE,PRD,SNR,AMSE
sub03,1.8,NLMS,0.03483959137310255,97.10949996227322,3.97417918026995,0.0020946392429511624
sub03,1.6,ILHSAF,0.033615694335879145,151.17610972188717,7.269502331471545,0.005105376924020062
sub03,1.6,IPNLMS,0.0313557394108327,146.5285289965356,7.817977674940962,0.004912917349380404
sub03,1.6,LHSAF,0.11942782635679454,288.59135255867125,-2.7019310827491627,0.02046574880074755
sub03,1.6,Llncosh,0.17416853339871388,395.8838887563492,-5.358682348687235,0.04050537765664794
sub03,1.6,NLMS,0.037234446626477624,153.0002335984104,6.293094079900877,0.005323950551425574
sub03,1.4,ILHSAF,0.034050077409387515,332.4818189886736,13.371283738597462,0.02545025183905809
sub03,1.4,IPNLMS,0.03741090701203381,332.46731059258525,12.531165803787605,0.02561415625003785
sub03,1.4,LHSAF,0.11832221397998607,415.71510641194106,3.588922710146348,0.040496089347615685
sub03,1.4,Llncosh,0.17453144035961177,502.77860396429645,0.8525771922061859,0.06103082733291269
sub03,1.4,NLMS,0.04998033245154963,340.03042116104626,9.9927138869085,0.026736672896158248
sub05,2.0,ILHSAF,0.032958797221379274,159.9224563745499,0.31181862698985174,0.0015341979295551416
sub05,2.0,IPNLMS,0.02759810239815149,122.8669356572991,1.875888150907635,0.0011953727565710212
sub05,2.0,LHSAF,0.1147277895067032,394.2166809201086,-9.55455753889143,0.0155792724272609
sub05,2.0,Llncosh,0.16818817803920427,555.5532209969756,-12.23553471587095,0.03437014243518777
sub05,2.0,NLMS,0.028545099541220965,125.40845301896235,1.5837639232290894,0.0012539128585462795
sub05,1.8,ILHSAF,0.03307733458379829,194.28829045239826,2.7414741346156233,0.0025995747561823757
sub05,1.8,IPNLMS,0.028145131184683654,162.95047937057086,4.1787899332046345,0.002275233213323141
sub05,1.8,LHSAF,0.11386565541674862,408.685860773676,-7.0321113976183165,0.016412644712564275
sub05,1.8,Llncosh,0.16832878688600508,568.5741768200947,-9.775415744544475,0.03546948110892301
sub05,1.8,NLMS,0.029437949826788164,165.70560548638622,3.7918045556988442,0.0023610491340173784
sub05,1.6,ILHSAF,0.033346344474887116,304.502630263437,7.535081501599265,0.007728003184131908
sub05,1.6,IPNLMS,0.030137285745494853,285.25170492649073,8.481223487236814,0.007494849364518986
sub05,1.6,LHSAF,0.11438639809541686,473.6260895580475,-2.1920641132508325,0.02160212271802847
sub05,1.6,Llncosh,0.16850373507194957,622.9492507407564,-4.907497472249901,0.04061521124017855
sub05,1.6,NLMS,0.0333544798050857,289.4993664798836,7.623252380042475,0.00772663042842211
sub05,1.4,ILHSAF,0.034190862957393806,669.5998334212818,14.656333683832688,0.04159311795000298
sub05,1.4,IPNLMS,0.04110507357541451,666.1024144511998,13.312923010324386,0.042135140406888184
sub05,1.4,LHSAF,0.11456902912925795,768.7370038904559,5.167580410410419,0.05560844843761238
sub05,1.4,Llncosh,0.16839035438804384,875.0497416667829,2.46272587986488,0.07428035472789686
sub05,1.4,NLMS,0.0519820376673578,675.4199619066756,11.271092268897803,0.043244689007235104
sub07,2.0,ILHSAF,0.057522793524623486,122.24148445618809,-0.09447209813570745,0.003921769978607019
sub07,2.0,IPNLMS,0.05536433647381298,120.4520497165091,0.18308049425968642,0.0036355553828169933
sub07,2.0,LHSAF,0.12003566616528127,207.55036901563489,-4.641496161696807,0.01997708968004433
sub07,2.0,Llncosh,0.15828151944415397,259.3956609862925,-5.768282393516141,0.03851614409049277
sub07,2.0,NLMS,0.06396166019865077,131.9863622460726,-0.9925607147189254,0.004747574993022216
sub07,1.8,ILHSAF,0.057590183382205826,141.06864882954238,1.3760648331674923,0.005268341395743859
sub07,1.8,IPNLMS,0.055621911842701335,139.82504250632323,1.6217750358589536,0.004990578813185865
sub07,1.8,LHSAF,0.12051438849676663,222.18632581589026,-3.1904991003032355,0.021455155382543417
sub07,1.8,Llncosh,0.15857567891368046,273.79802644622987,-4.309368011880919,0.03999812791944028
sub07,1.8,NLMS,0.06460711493445988,150.24909131749092,0.3992753106301114,0.006154398386268538
sub07,1.6,ILHSAF,0.057868359812001495,208.73931844472943,5.098503071146879,0.01174739498288502
sub07,1.6,IPNLMS,0.056700108367233236,208.8216763254377,5.212023447219858,0.011538720742137819
sub07,1.6,LHSAF,0.12198743337117546,277.1448720730193,0.49357185352666455,0.028463604684613956
sub07,1.6,Llncosh,0.15844602433764,324.66698339958145,-0.5598725703712488,0.04632745755943868
sub07,1.6,NLMS,0.06759410026451265,217.85115443948297,3.765582379029779,0.01297608899243998
sub07,1.4,ILHSAF,0.058412634131089956,446.23923523538156,11.843140538701673,0.054429864340095654
sub07,1.4,IPNLMS,0.06419994504447225,449.7113499368106,10.943396124230594,0.05501754592701756
sub07,1.4,LHSAF,0.121102694189853,485.2869598710789,7.338399192155177,0.07057184604326139
sub07,1.4,Llncosh,0.1589023690797363,522.6397242079374,6.22393388355758,0.08919290595321651
sub07,1.4,NLMS,0.08425490433819775,460.20671485208123,8.664366539518387,0.05809164844848029
